t=2026-01-07T11:33:51+1100 lvl=info msg="no configuration paths supplied"
t=2026-01-07T11:33:51+1100 lvl=info msg="using configuration at default config path" path="/Users/jota1/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T11:33:51+1100 lvl=info msg="open config file" path="/Users/jota1/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T11:33:51+1100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-07T11:33:51+1100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-07T11:33:51+1100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-07T11:33:51+1100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-07T11:33:51+1100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://c4a58ff726bc.ngrok-free.app
t=2026-01-07T11:34:34+1100 lvl=info msg=start pg=/api/tunnels id=fb7e674785105d34
t=2026-01-07T11:34:34+1100 lvl=info msg=end pg=/api/tunnels id=fb7e674785105d34 status=200 dur=201.167µs
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=7ad800093817 l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=91a64e7c184d l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=b4dc62726576 l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=7d7bc3d701e8 l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=baabf2743e9b l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:03+1100 lvl=info msg="join connections" obj=join id=5e6fd1e65921 l=127.0.0.1:8000 r=121.200.5.226:38775
t=2026-01-07T11:35:18+1100 lvl=info msg="join connections" obj=join id=a2f7436bc516 l=127.0.0.1:8000 r=121.200.5.226:38775
